Accident_ID,Date,Time,Location,Weather_Condition,Road_Surface,Light_Condition,Number_of_Vehicles,Number_of_Casualties,Accident_Severity,Vehicle_Type,Driver_Age,Driver_Gender,Speed_Limit,Alcohol_Involved,Cause_of_Accident
1,2024-03-26,22:32:37,South Jeffreybury,Rainy,Dry,Daylight,4,0,Minor,Car,18,Male,70,No,Bad Weather
2,2024-11-29,17:33:52,New Maryville,Fog,Dry,Daylight,2,1,Serious,Truck,76,Female,110,Yes,Bad Weather
3,2024-07-05,20:22:25,Lake Karen,Snow,Icy,Daylight,3,0,Serious,Car,19,Male,110,Yes,Overspeeding
4,2025-02-16,20:44:14,South Michael,Snow,Snowy,Dark without lights,1,1,Serious,Truck,23,Male,30,Yes,Mechanical Failure
5,2025-02-01,00:21:43,Ericabury,Fog,Icy,Dark with street lights,4,0,Minor,Bus,62,Male,30,Yes,Mechanical Failure
6,2024-01-15,09:21:38,Cooperburgh,Fog,Dry,Dark without lights,3,4,Fatal,Car,54,Male,90,No,Bad Weather
7,2024-03-10,12:10:42,North Nathanielside,Clear,Snowy,Dark with street lights,4,1,Minor,Van,30,Male,110,No,Bad Weather
8,2024-09-28,06:30:11,South Jaclynfurt,Stormy,Icy,Daylight,1,4,Serious,Car,37,Female,70,Yes,Bad Weather
9,2023-08-15,15:47:59,Samuelport,Fog,Wet,Dark without lights,5,2,Minor,Van,51,Female,90,Yes,Bad Weather
10,2023-08-07,11:07:01,South Michael,Fog,Wet,Daylight,3,4,Serious,Truck,43,Female,110,No,Bad Weather
11,2023-05-26,09:03:22,Lake Joseton,Fog,Snowy,Daylight,5,4,Minor,Bicycle,53,Female,50,No,Mechanical Failure
12,2024-04-17,07:45:01,Ericachester,Fog,Dry,Dark without lights,3,5,Minor,Car,22,Female,90,Yes,Overspeeding
13,2023-08-11,05:04:18,Riverahaven,Stormy,Icy,Daylight,2,1,Serious,Motorbike,77,Male,30,No,Distracted Driving
14,2024-03-06,03:05:01,Harrisland,Windy,Icy,Daylight,3,5,Serious,Car,73,Male,30,Yes,Bad Weather
15,2024-06-29,21:35:36,North Sarahborough,Fog,Dry,Daylight,4,0,Fatal,Car,66,Female,70,No,Drunk Driving
16,2023-07-02,01:37:14,Taraburgh,Stormy,Icy,Daylight,4,2,Minor,Bus,62,Male,70,No,Distracted Driving
17,2025-04-21,10:13:28,Sandersfurt,Windy,Icy,Dark without lights,3,2,Serious,Bus,60,Female,110,No,Drunk Driving
18,2024-03-14,00:40:19,Lake Thomaschester,Snow,Snowy,Daylight,5,0,Minor,Bicycle,34,Male,50,No,Overspeeding
19,2025-04-12,23:54:05,Tracybury,Windy,Snowy,Dark without lights,4,5,Minor,Bus,31,Male,30,No,Drunk Driving
20,2024-06-21,15:17:18,Kimberlyside,Rainy,Wet,Dark without lights,2,3,Serious,Bicycle,32,Female,110,No,Distracted Driving
21,2024-05-03,10:33:32,North Brentton,Fog,Icy,Dark without lights,5,0,Minor,Motorbike,66,Male,50,Yes,Distracted Driving
22,2024-05-17,11:56:14,Susanmouth,Rainy,Icy,Dark without lights,2,5,Fatal,Van,69,Male,30,No,Drunk Driving
23,2023-10-04,08:36:48,South Ruth,Stormy,Wet,Daylight,5,1,Fatal,Bicycle,50,Female,50,Yes,Bad Weather
24,2023-08-27,11:41:46,North Lisachester,Windy,Snowy,Dark without lights,3,5,Minor,Bicycle,42,Male,30,No,Bad Weather
25,2024-02-03,20:43:00,North Jamie,Stormy,Snowy,Dark without lights,5,4,Serious,Car,41,Male,90,No,Other
26,2024-11-09,05:09:19,Lake Timothy,Stormy,Snowy,Dark with street lights,3,1,Fatal,Van,48,Male,70,Yes,Drunk Driving
27,2023-10-17,10:35:27,South Ashleybury,Fog,Snowy,Dark without lights,3,0,Minor,Bus,41,Female,70,Yes,Other
28,2023-09-18,15:04:06,Waynechester,Windy,Dry,Dark without lights,3,1,Serious,Motorbike,69,Male,90,No,Distracted Driving
29,2024-02-07,08:07:15,East Darryl,Rainy,Dry,Daylight,4,2,Minor,Bus,50,Male,90,No,Mechanical Failure
30,2023-08-04,22:46:54,Charlesshire,Fog,Icy,Dark with street lights,3,1,Fatal,Car,35,Female,30,No,Bad Weather
31,2023-11-22,04:12:55,Danielmouth,Stormy,Wet,Dark without lights,4,3,Fatal,Car,75,Male,110,Yes,Overspeeding
